name,zhanghao, mimai,  names1, names2,name21, names3, names4, names5,neirong, yuji, wenti, erji, weizhi,kuang
测试选择“公司名”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,公司名输入“51”位数,验证实际输入个数,位数限制正确,51,50,没有位数限制,普通发票,请输入公司名称,公司名
测试选择“纳税人识”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,纳税人识输入“21”位数,验证实际输入个数,位数限制正确,21,20,没有位数限制,普通发票,请输入纳税人识别号,纳税人识
测试选择“邮寄地址”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,邮寄地址输入“61”位数,验证实际输入个数,位数限制正确,61,60,没有位数限制,普通发票,请输入邮寄地址,邮寄地址
测试选择“邮政编码”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,邮政编码输入“7”位数,验证实际输入个数,位数限制正确,7,6,没有位数限制,普通发票,请输入邮政编码,邮政编码
测试选择“联系人”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,联系人输入“11”位数,验证实际输入个数,位数限制正确,11,10,没有位数限制,普通发票,请输入联系人,联系人
测试选择“手机号”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,手机号输入“12”位数,验证实际输入个数,位数限制正确,12,11,没有位数限制,普通发票,请输入手机号,手机号
测试选择“公司名”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,公司名输入“51”位数,验证实际输入个数,位数限制正确,51,50,没有位数限制,增值税发票,请输入公司名称,公司名
测试选择“纳税人识”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,纳税人识输入“21”位数,验证实际输入个数,位数限制正确,21,20,没有位数限制,增值税发票,请输入纳税人识别号,纳税人识
测试选择“手机”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,手机输入“21”位数,验证实际输入个数,位数限制正确,21,0,没有位数限制,增值税发票,请输入电话,手机
测试选择“公司地址”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,公司地址 输入“51”位数,验证实际输入个数,位数限制正确,51,50,没有位数限制,增值税发票,请输入公司地址,公司地址
测试选择“开户银行”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,开户银行输入“31”位数,验证实际输入个数,位数限制正确,31,30,没有位数限制,增值税发票,请输入开户银行,开户银行
测试选择“账户”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,账户输入“21”位数,验证实际输入个数,位数限制正确,21,20,没有位数限制,增值税发票,请输入账户,账户
测试选择“邮寄地址”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,邮寄地址输入“61”位数,验证实际输入个数,位数限制正确,61,60,没有位数限制,增值税发票,请输入邮寄地址,邮寄地址
测试选择“邮政编码”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,邮政编码输入“7”位数,验证实际输入个数,位数限制正确,7,6,没有位数限制,增值税发票,请输入邮政编码,邮政编码
测试选择“联系人”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,联系人输入“11”位数,验证实际输入个数,位数限制正确,11,10,没有位数限制,增值税发票,请输入联系人,联系人
测试选择“手机号”输入个数,sj17600446278@163.com,a123456,登录账号,进入积分充值页,金额输入框输入1,手机号输入“12”位数,验证实际输入个数,位数限制正确,12,11,没有位数限制,增值税发票,请输入手机号,手机号
